class,SPEED,HARD_DRIVE,RAM,SCREEN,CD,MULTI,FIRM,ADS,TREND
2525,50,250,4,15,0,0,0,95,34
2325,66,250,8,14,0,0,0,95,34
2499,33,170,4,14,0,0,0,95,34
2799,33,230,4,14,0,0,0,95,34
1795,33,170,4,14,0,0,0,95,34
2199,33,210,4,14,0,0,0,95,34
2355,50,250,8,14,0,0,0,95,34
3220,66,340,8,15,1,0,0,95,34
2420,33,170,8,15,1,0,0,95,34
2544,33,245,8,14,0,0,0,95,34
2945,50,250,4,17,0,0,0,95,34
2295,33,245,8,14,0,0,0,95,34
1495,33,85,2,14,0,0,0,95,34
2065,50,170,4,14,0,0,0,95,34
2295,66,130,4,14,0,0,0,95,34
1799,25,170,4,14,0,0,0,95,34
2220,33,250,4,14,1,0,0,95,34
2075,50,170,4,14,0,0,0,95,34
1749,25,120,4,14,0,0,0,95,34
2195,25,245,8,14,0,0,0,95,34
2255,50,250,8,14,0,0,0,95,34
2395,33,250,4,15,0,0,0,95,34
2720,33,250,8,15,1,0,0,95,34
2195,50,130,4,14,0,0,0,95,34
2225,33,250,8,14,0,0,0,95,34
4020,66,500,8,14,1,0,0,95,34
2475,50,250,8,14,0,0,0,95,34
1975,50,170,4,14,0,0,0,95,34
3995,66,452,8,14,0,0,0,95,34
2595,66,245,8,14,0,0,0,95,34
2295,66,170,4,14,0,0,0,95,34
2199,33,212,4,14,0,0,0,95,34
1975,33,250,8,14,0,0,0,95,34
3895,66,500,8,15,0,0,0,95,34
2095,33,250,4,15,0,0,0,95,34
2225,33,250,8,15,0,0,0,95,34
3599,66,330,8,14,0,0,0,95,34
2075,33,250,8,14,0,0,0,95,34
2499,33,212,8,14,0,0,0,95,34
2575,66,250,8,15,0,0,0,95,34
2999,50,170,4,14,0,0,0,95,34
2195,33,170,8,15,0,0,0,95,34
3065,50,250,4,17,0,0,0,95,34
3399,66,230,4,15,0,0,0,95,34
1995,33,130,4,14,0,0,0,95,34
1595,25,170,4,15,0,0,0,95,34
2645,50,250,4,15,0,0,0,95,34
2345,50,250,8,14,0,0,0,95,34
2795,33,340,16,14,0,0,0,95,34
1895,25,130,4,14,0,0,0,95,34
2495,50,245,8,14,0,0,0,95,34
2599,50,210,4,14,0,0,0,95,34
1595,33,85,2,14,0,0,0,95,34
1999,33,120,8,14,0,0,1,95,34
2425,66,250,8,14,0,0,0,95,34
2495,33,250,8,15,0,0,0,95,34
1795,33,170,4,15,0,0,0,95,34
2744,66,245,8,14,0,0,0,95,34
3795,33,452,8,14,0,0,0,95,34
2745,66,250,4,15,0,0,0,95,34
2399,50,212,4,14,0,0,0,95,34
2645,33,250,8,17,0,0,0,95,34
1945,33,170,4,14,0,0,0,95,34
1695,50,85,2,14,0,0,0,95,34
2195,50,170,4,14,0,0,0,95,34
2815,33,250,4,17,0,0,0,95,34
1899,25,120,4,14,0,0,0,95,34
2644,50,245,8,14,0,0,0,95,34
3795,66,500,8,14,0,0,0,95,34
2395,33,245,8,14,0,0,0,95,34
1695,33,170,4,14,0,0,0,95,34
2575,66,250,8,14,0,0,0,95,34
2695,33,340,16,14,0,0,0,95,34
2999,66,245,16,15,0,0,0,100,33
1899,33,170,4,14,0,0,0,100,33
2499,50,210,4,14,0,0,0,100,33
1999,33,213,8,14,0,0,0,100,33
2055,50,170,4,14,0,0,0,100,33
2065,50,170,4,14,0,0,0,100,33
2055,33,250,8,14,0,0,0,100,33
2099,33,212,4,14,0,0,0,100,33
1995,33,130,4,14,0,0,0,100,33
2220,33,250,4,14,1,0,0,100,33
3220,66,340,8,15,1,0,0,100,33
3995,66,452,8,14,0,0,0,100,33
2785,33,250,8,17,0,0,0,100,33
2475,50,250,8,15,0,0,0,100,33
1499,25,170,4,14,0,0,0,100,33
1595,33,85,2,14,0,0,0,100,33
2099,66,120,4,14,0,0,0,100,33
2885,66,170,8,15,0,0,0,100,33
3795,33,452,8,14,0,0,0,100,33
2295,66,170,4,14,0,0,0,100,33
3895,66,500,8,15,0,0,0,100,33
2395,33,245,8,14,0,0,0,100,33
3135,66,250,8,17,0,0,0,100,33
2420,33,170,8,15,1,0,0,100,33
2125,66,170,4,14,0,0,0,100,33
2985,66,250,8,17,0,0,0,100,33
1395,25,85,2,14,0,0,0,100,33
2295,33,245,8,14,0,0,0,100,33
2095,33,130,4,14,0,0,0,100,33
2795,33,340,16,14,0,0,0,100,33
1945,33,170,4,14,0,0,0,100,33
2635,33,250,8,17,0,0,0,100,33
2695,66,250,8,15,0,0,0,100,33
2199,50,213,8,14,0,0,0,100,33
3895,50,452,8,14,0,0,0,100,33
2599,50,212,8,14,0,0,0,100,33
2745,66,170,8,14,0,0,0,100,33
1920,33,170,4,14,1,0,0,100,33
2895,50,340,16,14,0,0,0,100,33
2199,33,210,4,14,0,0,0,100,33
2915,50,250,8,17,0,0,0,100,33
1999,33,120,8,14,0,0,1,100,33
2720,33,250,8,15,1,0,0,100,33
1999,33,170,4,14,0,0,0,100,33
2195,33,170,8,15,0,0,0,100,33
2195,25,245,8,14,0,0,0,100,33
2295,66,130,4,14,0,0,0,100,33
1595,25,170,4,15,0,0,0,100,33
1695,33,170,4,14,0,0,0,100,33
1495,25,170,4,14,0,0,0,100,33
3795,66,500,8,14,0,0,0,100,33
1699,33,120,4,14,0,0,0,100,33
1895,25,130,4,14,0,0,0,100,33
2335,50,250,8,14,0,0,0,100,33
2495,50,245,8,14,0,0,0,100,33
2575,66,250,8,14,0,0,0,100,33
2495,33,250,8,15,0,0,0,100,33
3299,66,245,16,15,0,0,0,100,33
2699,66,213,8,14,0,0,0,100,33
1695,50,85,2,14,0,0,0,100,33
2999,66,170,4,14,0,0,0,100,33
2399,66,213,8,14,0,0,0,100,33
1499,25,170,4,14,0,0,0,100,33
2395,33,170,8,14,0,0,0,100,33
1720,25,170,4,14,1,0,0,100,33
1495,33,85,2,14,0,0,0,100,33
2399,66,120,4,14,0,0,0,100,33
3035,50,250,8,17,0,0,0,100,33
2449,33,230,4,14,0,0,0,100,33
1775,33,170,4,14,0,0,0,100,33
2599,33,245,16,15,0,0,0,100,33
2995,66,340,8,15,0,0,0,100,33
2345,33,250,8,15,0,0,0,100,33
2535,33,170,8,15,0,0,0,100,33
2345,50,250,8,14,0,0,0,100,33
1899,50,120,4,14,0,0,0,100,33
2195,50,130,4,14,0,0,0,100,33
2645,50,170,8,14,0,0,0,100,33
2785,50,170,8,15,0,0,0,100,33
2799,50,245,16,15,0,0,0,100,33
2999,66,340,4,15,0,0,0,100,33
2095,33,250,4,15,0,0,0,100,33
4020,66,500,8,14,1,0,0,100,33
2595,50,250,8,15,0,0,0,100,33
2695,33,340,16,14,0,0,0,100,33
2195,33,250,8,15,0,0,0,100,33
2995,66,340,16,14,0,0,0,100,33
2195,50,170,4,14,0,0,0,100,33
2399,33,212,8,14,0,0,0,100,33
2405,66,250,8,14,0,0,0,100,33
1795,66,85,2,14,0,0,0,100,33
2225,33,250,8,14,0,0,0,100,33
1995,33,250,4,14,0,0,0,100,33
2299,50,212,4,14,0,0,0,100,33
1795,33,170,4,15,0,0,0,100,33
2545,66,250,8,15,0,0,0,100,33
2595,66,245,8,14,0,0,0,100,33
1399,25,170,4,14,0,0,0,100,33
2475,50,250,8,14,0,0,0,100,33
2595,25,340,16,14,0,0,0,100,33
1695,50,85,2,14,0,0,0,108,32
3995,66,452,8,14,0,0,0,108,32
2999,66,240,4,15,0,0,0,108,32
2495,50,245,8,14,0,0,0,108,32
2455,66,250,8,14,0,0,0,108,32
2299,50,212,4,14,0,0,0,108,32
2690,25,340,16,14,0,0,0,108,32
2155,33,250,8,14,0,0,0,108,32
2890,33,340,16,14,0,0,0,108,32
1899,33,170,4,14,0,0,0,108,32
1595,25,170,4,14,0,0,0,108,32
1990,25,130,4,14,0,0,0,108,32
1895,25,130,4,14,0,0,0,108,32
1895,33,170,4,14,0,0,0,108,32
2799,50,245,16,15,0,0,0,108,32
2590,50,245,8,14,0,0,0,108,32
1499,25,170,4,14,0,0,0,108,32
2955,50,250,8,17,0,0,0,108,32
2285,50,250,8,14,0,0,0,108,32
2475,50,250,8,15,0,0,0,108,32
3795,33,452,8,14,0,0,0,108,32
1999,33,213,8,14,0,0,0,108,32
2599,50,212,8,14,0,0,0,108,32
2895,50,340,16,14,0,0,0,108,32
3895,50,452,8,14,0,0,0,108,32
2695,66,250,8,14,0,0,0,108,32
1995,50,170,4,14,0,0,0,108,32
2399,66,120,4,14,0,0,0,108,32
2605,33,250,8,17,0,0,0,108,32
2335,66,250,8,14,0,0,0,108,32
2195,66,170,4,14,0,0,0,108,32
2425,66,250,8,15,0,0,0,108,32
2995,66,340,16,14,0,0,0,108,32
2599,33,245,16,15,0,0,0,108,32
2390,33,245,8,14,0,0,0,108,32
1690,33,85,2,14,0,0,0,108,32
1495,33,85,2,14,0,0,0,108,32
2395,33,250,8,14,0,0,0,108,32
2099,33,212,4,14,0,0,0,108,32
3090,66,340,16,14,0,0,0,108,32
2599,33,240,4,15,0,0,0,108,32
1999,33,170,4,14,0,0,0,108,32
2195,50,130,4,14,0,0,0,108,32
2190,33,130,4,14,0,0,0,108,32
2025,50,170,4,14,0,0,0,108,32
1699,33,120,4,14,0,0,0,108,32
2790,33,340,16,14,0,0,0,108,32
1795,33,170,4,14,0,0,0,108,32
2990,50,340,16,14,0,0,0,108,32
2905,66,250,8,17,0,0,0,108,32
2825,33,250,8,17,0,0,0,108,32
2390,66,130,4,14,0,0,0,108,32
2699,66,213,8,14,0,0,0,108,32
2995,66,340,8,15,0,0,0,108,32
1590,33,85,2,14,0,0,0,108,32
2345,33,250,8,15,0,0,0,108,32
2199,50,213,8,14,0,0,0,108,32
2290,50,130,4,14,0,0,0,108,32
2595,50,250,8,15,0,0,0,108,32
2515,33,250,8,15,0,0,0,108,32
2145,50,170,4,14,0,0,0,108,32
2405,50,250,8,14,0,0,0,108,32
2525,50,250,8,14,0,0,0,108,32
2595,50,250,8,15,0,0,0,108,32
2090,33,130,4,14,0,0,0,108,32
2075,66,170,4,14,0,0,0,108,32
2799,50,240,4,15,0,0,0,108,32
3299,66,245,16,15,0,0,0,108,32
2645,66,250,8,15,0,0,0,108,32
3125,66,250,8,17,0,0,0,108,32
2295,33,245,8,14,0,0,0,108,32
1775,33,170,4,14,0,0,0,108,32
2095,33,130,4,14,0,0,0,108,32
2155,50,250,8,14,0,0,0,108,32
3075,50,250,8,17,0,0,0,108,32
2815,66,250,8,15,0,0,0,108,32
1599,25,170,4,14,0,0,0,108,32
2099,33,120,4,14,0,0,1,108,32
2645,50,250,8,15,0,0,0,108,32
1795,66,85,2,14,0,0,0,108,32
2035,33,250,8,14,0,0,0,108,32
2490,33,245,8,14,0,0,0,108,32
3225,66,212,4,15,0,0,1,108,32
2690,66,245,8,14,0,0,0,108,32
2195,25,245,8,14,0,0,0,108,32
1890,66,85,2,14,0,0,0,108,32
1995,33,130,4,14,0,0,0,108,32
2695,33,340,16,14,0,0,0,108,32
2595,25,340,16,14,0,0,0,108,32
1595,33,85,2,14,0,0,0,108,32
1490,25,85,2,14,0,0,0,108,32
2125,33,250,8,15,0,0,0,108,32
2399,66,213,8,14,0,0,0,108,32
2795,33,340,16,14,0,0,0,108,32
2290,25,245,8,14,0,0,0,108,32
2395,33,245,8,14,0,0,0,108,32
2399,33,212,8,14,0,0,0,108,32
1790,50,85,2,14,0,0,0,108,32
2099,66,120,4,14,0,0,0,108,32
1395,25,85,2,14,0,0,0,108,32
1895,50,170,4,14,0,0,0,108,32
2295,66,130,4,14,0,0,0,108,32
2595,66,245,8,14,0,0,0,108,32
1899,50,120,4,14,0,0,0,108,32
1399,25,170,4,14,0,0,0,108,32
2999,66,170,4,14,0,0,0,108,32
2999,66,245,16,15,0,0,0,108,32
2449,33,230,4,14,0,0,0,108,32
1795,33,170,4,14,0,0,0,139,31
1899,33,212,4,14,0,0,0,139,31
2395,33,340,8,14,0,0,0,139,31
2399,50,320,8,14,0,0,0,139,31
1595,33,170,4,14,0,0,0,139,31
2490,33,340,8,14,0,0,0,139,31
2995,66,452,16,14,0,0,0,139,31
2890,33,452,16,14,0,0,0,139,31
2190,33,214,4,15,0,0,0,139,31
2399,66,213,8,14,0,0,0,139,31
2285,50,250,8,14,0,0,0,139,31
2590,33,340,8,15,0,0,0,139,31
2795,33,452,16,14,0,0,0,139,31
1495,33,170,4,14,0,0,0,139,31
2075,66,170,4,14,0,0,0,139,31
2090,33,214,4,15,0,0,0,139,31
2195,33,250,8,15,0,0,0,139,31
3999,66,340,16,17,0,0,0,139,31
1699,33,120,4,14,0,0,0,139,31
1995,33,250,8,14,0,0,0,139,31
1690,33,107,2,14,0,0,0,139,31
3495,33,452,8,14,0,0,0,139,31
2195,66,170,4,14,0,0,0,139,31
3090,66,452,16,14,0,0,0,139,31
2690,25,452,16,14,0,0,0,139,31
1895,25,214,4,14,0,0,0,139,31
2495,50,250,8,15,0,0,0,139,31
2405,50,250,8,14,0,0,0,139,31
1595,33,107,2,14,0,0,0,139,31
2890,33,452,16,15,0,0,0,139,31
2390,25,340,8,14,0,0,0,139,31
1690,33,107,2,15,0,0,0,139,31
2295,25,340,8,14,0,0,0,139,31
2790,33,452,16,14,0,0,0,139,31
2695,33,452,16,14,0,0,0,139,31
2595,25,452,16,14,0,0,0,139,31
1995,33,214,4,14,0,0,0,139,31
2049,33,405,4,14,0,0,0,139,31
1399,25,170,4,14,0,0,0,139,31
2805,33,250,8,17,0,0,0,139,31
2019,33,120,4,14,0,0,1,139,31
3055,50,250,8,17,0,0,0,139,31
2990,50,452,16,14,0,0,0,139,31
2605,33,250,8,17,0,0,0,139,31
2125,33,250,8,15,0,0,0,139,31
1490,25,107,2,14,0,0,0,139,31
1699,33,170,4,14,0,0,0,139,31
2495,33,340,8,14,0,0,0,139,31
2599,33,245,16,15,0,0,0,139,31
2220,33,250,8,14,1,0,0,139,31
1590,33,107,2,15,0,0,0,139,31
1499,33,120,4,14,0,0,0,139,31
2625,66,250,8,15,0,0,0,139,31
1395,25,107,2,14,0,0,0,139,31
2395,33,250,8,14,0,0,0,139,31
2420,33,250,8,15,1,0,0,139,31
2425,66,250,8,15,0,0,0,139,31
2515,33,250,8,15,0,0,0,139,31
2375,50,250,8,15,0,0,0,139,31
3105,66,250,8,17,0,0,0,139,31
2390,66,214,4,15,0,0,0,139,31
2905,66,250,8,17,0,0,0,139,31
2690,25,452,16,15,0,0,0,139,31
2695,66,250,8,14,0,0,0,139,31
1790,50,107,2,14,0,0,0,139,31
3495,66,500,8,14,0,0,0,139,31
2790,33,452,16,15,0,0,0,139,31
1790,50,107,2,15,0,0,0,139,31
1795,66,107,2,14,0,0,0,139,31
2995,66,340,8,15,1,0,0,139,31
1995,50,170,4,14,0,0,0,139,31
2599,50,405,8,14,0,0,0,139,31
3720,66,500,8,14,1,0,0,139,31
2155,33,250,8,14,0,0,0,139,31
1599,25,170,4,14,0,0,0,139,31
2525,50,250,8,14,0,0,0,139,31
2299,33,405,8,14,0,0,0,139,31
1895,33,170,4,14,0,0,0,139,31
1490,25,107,2,15,0,0,0,139,31
2035,33,250,8,14,0,0,0,139,31
1720,33,170,4,14,1,0,0,139,31
2595,50,250,8,15,0,0,0,139,31
2290,50,214,4,15,0,0,0,139,31
2455,50,250,8,15,0,0,0,139,31
1695,50,107,2,14,0,0,0,139,31
2249,50,230,4,14,0,0,0,139,31
1999,50,212,4,14,0,0,0,139,31
2455,66,250,8,14,0,0,0,139,31
2595,50,340,8,14,0,0,0,139,31
2859,66,212,4,15,0,0,1,139,31
2599,50,405,4,15,0,0,0,139,31
2855,50,250,8,17,0,0,0,139,31
2790,66,340,8,14,0,0,0,139,31
3990,66,1000,16,14,0,0,0,139,31
3595,50,452,8,14,0,0,0,139,31
2195,50,214,4,14,0,0,0,139,31
3599,66,405,8,14,0,0,0,139,31
2690,50,340,8,15,0,0,0,139,31
1999,33,213,8,14,0,0,0,139,31
2990,50,452,16,15,0,0,0,139,31
1890,66,107,2,14,0,0,0,139,31
2190,33,214,4,14,0,0,0,139,31
2720,50,250,8,15,1,0,0,139,31
2145,50,170,4,14,0,0,0,139,31
2295,66,214,4,14,0,0,0,139,31
1990,25,214,4,15,0,0,0,139,31
2695,66,340,8,14,0,0,0,139,31
3149,66,230,8,14,0,0,0,139,31
1775,33,170,4,14,0,0,0,139,31
2490,33,340,8,15,0,0,0,139,31
3599,33,340,16,17,0,0,0,139,31
2690,50,340,8,14,0,0,0,139,31
3195,66,540,8,15,0,0,0,139,31
3695,66,452,8,14,0,0,0,139,31
2645,50,250,8,15,0,0,0,139,31
3090,66,452,16,15,0,0,0,139,31
1890,66,107,2,15,0,0,0,139,31
1999,33,170,4,14,0,0,0,139,31
2935,50,250,8,17,0,0,0,139,31
1990,25,214,4,14,0,0,0,139,31
2290,50,214,4,14,0,0,0,139,31
2390,66,214,4,14,0,0,0,139,31
2025,50,170,4,14,0,0,0,139,31
2095,33,214,4,14,0,0,0,139,31
2590,33,340,8,14,0,0,0,139,31
1499,25,170,4,14,0,0,0,139,31
2325,33,250,8,15,0,0,0,139,31
2099,66,120,4,14,0,0,0,139,31
2999,66,245,16,15,0,0,0,139,31
2790,66,340,8,15,0,0,0,139,31
1590,33,107,2,14,0,0,0,139,31
2499,50,170,4,14,0,0,0,139,31
2575,50,250,8,15,0,0,0,139,31
2390,25,340,8,15,0,0,0,139,31
1495,33,107,2,14,0,0,0,139,31
2895,50,452,16,14,0,0,0,139,31
2335,66,250,8,14,0,0,0,139,31
2090,33,214,4,14,0,0,0,139,31
2815,66,250,8,15,0,0,0,139,31
2195,50,250,4,14,0,0,0,176,30
1899,33,170,4,14,0,0,0,176,30
3599,66,450,8,14,0,0,0,176,30
2095,33,250,4,14,0,0,0,176,30
2690,33,452,16,15,0,0,0,176,30
2795,66,250,8,15,0,0,0,176,30
2799,33,240,4,14,0,0,1,176,30
2698,66,245,8,14,1,0,0,176,30
2390,33,340,8,14,0,0,0,176,30
2695,66,340,8,14,0,0,0,176,30
2095,33,214,4,14,0,0,0,176,30
2599,50,450,8,15,0,0,0,176,30
1825,50,170,4,14,0,0,0,176,30
1790,50,107,2,15,0,0,0,176,30
2720,66,340,8,14,1,0,0,176,30
1295,25,107,2,14,0,0,0,176,30
2990,50,452,16,14,0,0,0,176,30
1890,66,107,2,15,0,0,0,176,30
2595,33,452,16,14,0,0,0,176,30
1490,33,107,2,14,0,0,0,176,30
2075,50,250,8,14,0,0,0,176,30
3699,33,345,16,17,0,0,0,176,30
2690,33,452,16,14,0,0,0,176,30
2245,66,250,4,15,0,0,0,176,30
3999,66,345,16,17,0,0,0,176,30
2195,50,214,4,14,0,0,0,176,30
2999,50,240,4,14,0,0,1,176,30
1895,33,212,8,14,0,0,0,176,30
2295,50,212,8,15,0,0,0,176,30
2190,33,214,4,14,0,0,0,176,30
1690,33,107,2,14,0,0,0,176,30
1390,25,107,2,15,0,0,0,176,30
1890,25,214,4,14,0,0,0,176,30
2290,25,340,8,14,0,0,0,176,30
1720,33,170,4,14,1,0,0,176,30
2325,66,250,8,15,0,0,0,176,30
1699,33,170,4,14,0,0,0,176,30
2045,50,250,4,15,0,0,0,176,30
2299,66,120,4,14,0,0,1,176,30
2755,66,250,8,17,0,0,0,176,30
2145,66,250,4,14,0,0,0,176,30
3090,66,452,16,14,0,0,0,176,30
2790,66,340,8,14,0,0,0,176,30
2099,33,120,4,14,0,0,1,176,30
1998,66,130,4,14,1,0,0,176,30
2590,33,340,8,14,0,0,0,176,30
3365,50,540,8,17,0,0,0,176,30
2545,66,250,8,15,0,0,0,176,30
3265,33,540,8,17,0,0,0,176,30
2250,66,170,4,14,1,0,0,176,30
2890,33,452,16,14,0,0,0,176,30
1599,25,170,4,14,0,0,0,176,30
1825,33,170,4,15,0,0,0,176,30
2125,66,170,4,15,0,0,0,176,30
2245,33,250,8,15,0,0,0,176,30
1945,33,250,4,15,0,0,0,176,30
2890,33,452,16,15,0,0,0,176,30
1599,66,130,4,14,0,0,0,176,30
2295,66,214,4,14,0,0,0,176,30
1520,25,80,4,14,1,0,0,176,30
2745,33,540,8,14,0,0,0,176,30
2899,66,340,8,15,0,0,0,176,30
2390,66,214,4,14,0,0,0,176,30
1675,25,120,4,14,0,0,1,176,30
3149,66,230,8,14,0,0,0,176,30
2590,25,452,16,14,0,0,0,176,30
1999,50,212,4,14,0,0,0,176,30
2590,25,452,16,15,0,0,0,176,30
1449,25,120,4,14,0,0,1,176,30
1490,33,107,2,15,0,0,0,176,30
2299,66,245,8,14,0,0,0,176,30
1595,33,107,2,14,0,0,0,176,30
2495,33,250,8,15,0,0,0,176,30
1890,66,107,2,14,0,0,0,176,30
2995,66,452,16,14,0,0,0,176,30
3609,66,527,4,15,0,0,1,176,30
2790,66,340,8,15,0,0,0,176,30
2295,33,340,8,14,0,0,0,176,30
1799,33,120,4,14,0,0,1,176,30
3990,66,1000,16,14,0,0,0,176,30
2999,66,240,4,15,0,0,0,176,30
2275,33,250,8,15,0,0,0,176,30
2290,50,214,4,15,0,0,0,176,30
1499,33,130,4,14,0,0,0,176,30
2555,50,250,8,17,0,0,0,176,30
2025,66,170,4,14,0,0,0,176,30
2299,33,450,8,14,0,0,0,176,30
1975,33,250,8,14,0,0,0,176,30
2109,33,120,4,14,0,0,1,176,30
3595,66,500,8,15,0,0,0,176,30
2595,66,340,8,15,0,0,0,176,30
2395,66,250,4,14,0,0,0,176,30
1899,33,250,4,14,0,0,0,176,30
2120,33,212,8,14,1,0,0,176,30
1790,50,107,2,14,0,0,0,176,30
1899,33,212,4,14,0,0,0,176,30
1990,33,214,4,14,0,0,0,176,30
1399,25,170,4,14,0,0,0,176,30
1898,33,130,4,14,1,0,0,176,30
1725,33,170,4,14,0,0,0,176,30
2595,50,250,8,15,0,0,0,176,30
1499,25,170,4,14,0,0,0,176,30
1990,33,214,4,15,0,0,0,176,30
2595,50,340,8,14,0,0,0,176,30
1395,25,80,4,15,0,0,0,176,30
2675,33,250,8,17,0,0,0,176,30
1899,25,120,4,14,0,0,1,176,30
2990,50,452,16,15,0,0,0,176,30
1925,50,170,4,15,0,0,0,176,30
4098,33,345,16,17,1,0,0,176,30
2895,50,452,16,14,0,0,0,176,30
2495,66,340,8,14,0,0,0,176,30
1995,33,212,8,15,0,0,0,176,30
1595,33,170,4,15,0,0,0,176,30
2195,25,340,8,14,0,0,0,176,30
2399,50,320,8,14,0,0,0,176,30
2390,33,340,8,15,0,0,0,176,30
2690,50,340,8,14,0,0,0,176,30
1690,33,107,2,15,0,0,0,176,30
2398,33,245,8,14,1,0,0,176,30
2775,50,250,8,17,0,0,0,176,30
1395,33,107,2,14,0,0,0,176,30
2520,50,212,8,15,1,0,0,176,30
2125,50,250,8,15,0,0,0,176,30
4398,66,345,16,17,1,0,0,176,30
2290,50,214,4,14,0,0,0,176,30
