ammonia,arsenic,cadmium,copper,viruses,lead,nitrates,mercury,selenium,uranium,class
6.36,1.01,0.127,0.17,0.991,0.063,9.61,0.008,0.04,0.07,1
15.33,1.01,0.121,0.55,0.48,0.003,11.71,0.004,0.04,0.01,1
25.77,1.01,0.125,1.93,1.0,0.192,13.02,0.004,0.04,0.01,1
27.74,1.02,0.126,0.34,0.27,0.141,14.93,0.004,0.04,0.04,1
21.01,1.02,0.128,0.04,0.995,0.163,6.49,0.01,0.1,0.08,1
10.32,0.98,0.125,1.64,0.2,0.084,16.65,0.009,0.04,0.01,1
11.6,1.0,0.127,0.93,0.995,0.14,9.81,0.004,0.0,0.01,1
8.01,1.02,0.126,1.92,0.3,0.043,8.89,0.01,0.06,0.07,1
13.76,1.02,0.127,0.36,0.39,0.162,12.79,0.001,0.01,0.06,1
28.11,0.98,0.125,0.61,0.999,0.006,19.16,0.001,0.02,0.07,1
23.3,1.01,0.122,1.5,0.997,0.105,17.86,0.009,0.09,0.02,1
27.91,0.99,0.125,1.45,0.996,0.138,5.07,0.007,0.07,0.05,1
4.18,1.01,0.129,1.34,0.33,0.018,8.07,0.006,0.03,0.09,1
21.64,1.01,0.127,1.94,0.997,0.125,15.5,0.007,0.05,0.09,1
19.85,1.02,0.127,0.74,0.994,0.036,17.11,0.01,0.09,0.08,1
1.53,1.02,0.129,1.79,0.0,0.095,15.38,0.001,0.04,0.06,1
19.61,1.02,0.124,1.29,0.42,0.056,18.16,0.001,0.05,0.08,1
1.18,1.0,0.126,1.11,0.26,0.081,8.09,0.001,0.04,0.08,1
8.09,1.0,0.123,1.45,0.28,0.111,19.6,0.006,0.09,0.06,1
21.06,0.99,0.125,0.47,0.999,0.136,6.04,0.003,0.1,0.01,1
21.15,0.99,0.127,0.91,0.998,0.075,12.66,0.002,0.09,0.05,1
7.56,1.01,0.129,0.68,0.44,0.151,1.09,0.003,0.04,0.09,1
10.7,0.99,0.121,1.27,0.3,0.078,17.6,0.003,0.0,0.05,1
11.73,1.02,0.126,0.56,0.993,0.023,19.57,0.008,0.04,0.03,1
6.01,1.0,0.123,0.62,0.993,0.048,15.81,0.0,0.04,0.03,1
16.43,1.02,0.125,0.89,0.28,0.1,16.93,0.009,0.06,0.07,1
18.13,1.0,0.123,0.82,0.999,0.168,16.53,0.007,0.04,0.02,1
15.47,1.01,0.124,0.14,0.997,0.015,18.8,0.007,0.03,0.08,1
25.47,0.98,0.129,0.47,0.4,0.036,8.61,0.008,0.04,0.05,1
4.91,1.0,0.124,0.91,0.997,0.149,16.43,0.004,0.06,0.01,1
29.49,1.01,0.127,0.04,0.994,0.193,16.11,0.0,0.0,0.08,1
6.03,1.01,0.123,0.59,0.21,0.115,14.59,0.003,0.04,0.01,1
15.67,1.02,0.124,0.4,0.09,0.19,5.66,0.004,0.06,0.09,1
20.05,0.98,0.124,0.83,0.49,0.07,16.91,0.0,0.1,0.08,1
22.85,1.0,0.125,1.67,0.996,0.107,18.25,0.006,0.07,0.04,1
28.79,1.01,0.126,0.34,0.998,0.076,7.55,0.003,0.05,0.07,1
21.53,1.0,0.127,0.11,0.992,0.189,6.01,0.009,0.02,0.02,1
14.59,1.0,0.126,1.41,0.999,0.076,2.14,0.008,0.07,0.09,1
21.06,0.98,0.128,1.3,0.03,0.1,0.98,0.009,0.05,0.09,1
7.34,1.0,0.125,0.28,0.13,0.05,17.02,0.006,0.08,0.04,1
26.97,1.0,0.127,1.94,0.995,0.122,9.18,0.009,0.02,0.05,1
28.27,1.029,0.125,0.63,0.08,0.088,11.63,0.003,0.05,0.04,1
7.64,1.0,0.126,1.66,0.26,0.065,7.19,0.008,0.04,0.05,1
22.43,1.02,0.125,1.23,0.992,0.108,5.84,0.006,0.04,0.09,1
16.05,0.99,0.123,1.43,0.0,0.135,3.0,0.006,0.02,0.01,1
27.57,1.01,0.127,0.54,0.998,0.065,12.17,0.005,0.0,0.09,1
24.34,0.99,0.122,0.16,0.995,0.065,0.77,0.008,0.1,0.01,1
19.66,1.02,0.128,1.32,0.998,0.186,12.93,0.001,0.09,0.07,1
9.49,0.98,0.128,0.11,0.17,0.016,18.51,0.009,0.03,0.02,1
19.3,1.02,0.122,0.28,0.37,0.029,17.8,0.005,0.08,0.07,1
17.93,0.98,0.122,0.01,0.997,0.1,15.92,0.0,0.08,0.05,1
19.87,0.99,0.127,1.68,0.994,0.077,18.03,0.008,0.06,0.06,1
23.23,0.99,0.127,0.78,0.01,0.17,18.18,0.008,0.1,0.06,1
23.98,1.029,0.125,0.26,0.996,0.001,6.13,0.004,0.03,0.01,1
29.12,0.99,0.123,0.41,1.0,0.124,10.01,0.0,0.05,0.07,1
19.93,1.01,0.122,1.4,0.999,0.063,6.33,0.009,0.1,0.04,1
17.65,0.99,0.129,1.71,0.25,0.034,6.71,0.004,0.02,0.02,1
17.11,0.99,0.122,1.3,0.41,0.048,5.32,0.006,0.07,0.02,1
2.32,1.0,0.128,0.31,0.999,0.179,5.71,0.005,0.09,0.08,1
21.88,0.99,0.126,1.33,0.997,0.193,10.41,0.008,0.01,0.02,1
21.9,1.01,0.126,1.64,0.21,0.002,12.66,0.002,0.1,0.03,1
21.81,1.02,0.127,0.68,0.39,0.026,7.28,0.001,0.04,0.0,1
4.24,1.01,0.126,0.33,0.14,0.068,18.56,0.001,0.01,0.06,1
0.92,1.02,0.122,1.28,0.993,0.047,4.76,0.007,0.0,0.0,1
27.67,0.98,0.121,0.29,0.05,0.175,10.41,0.003,0.06,0.01,1
26.57,0.99,0.123,1.3,0.996,0.012,10.53,0.008,0.04,0.06,1
19.4,1.02,0.121,0.93,0.997,0.087,5.51,0.007,0.04,0.05,1
27.68,1.02,0.126,1.34,0.32,0.087,1.91,0.008,0.09,0.04,1
3.62,1.01,0.122,0.83,0.43,0.091,13.69,0.003,0.05,0.07,1
25.08,0.99,0.122,0.51,0.34,0.101,9.66,0.003,0.08,0.0,1
24.95,0.98,0.125,1.71,0.04,0.16,9.22,0.007,0.01,0.02,1
27.19,1.0,0.127,0.75,0.22,0.088,17.32,0.004,0.03,0.03,1
28.24,1.02,0.123,1.15,0.1,0.046,6.26,0.001,0.07,0.09,1
15.96,1.0,0.123,0.79,0.23,0.042,18.09,0.006,0.05,0.01,1
14.1,1.02,0.129,1.24,0.993,0.173,15.99,0.009,0.03,0.03,1
21.7,0.99,0.124,1.61,0.42,0.046,17.46,0.008,0.1,0.05,1
11.13,1.02,0.123,0.28,0.04,0.081,8.72,0.005,0.08,0.07,1
22.54,1.0,0.123,0.14,0.997,0.085,14.18,0.005,0.04,0.03,1
27.18,0.99,0.127,0.65,0.993,0.131,7.98,0.005,0.03,0.06,1
3.84,0.99,0.123,0.42,0.28,0.187,10.93,0.002,0.04,0.0,1
10.95,0.98,0.127,0.91,0.994,0.07,1.7,0.0,0.05,0.02,1
23.33,1.029,0.126,1.67,0.992,0.037,8.75,0.003,0.06,0.03,1
24.25,1.0,0.124,1.34,0.35,0.006,5.73,0.002,0.01,0.05,1
28.72,1.02,0.122,1.86,0.997,0.138,6.17,0.005,0.02,0.01,1
18.86,1.029,0.126,0.85,0.34,0.112,12.0,0.009,0.1,0.07,1
24.41,1.0,0.127,0.04,0.5,0.004,13.65,0.006,0.03,0.03,1
24.67,1.01,0.129,1.85,0.39,0.036,2.86,0.009,0.1,0.08,1
25.95,0.99,0.128,0.4,0.32,0.047,14.78,0.001,0.05,0.04,1
18.66,1.029,0.125,1.78,0.41,0.081,5.68,0.009,0.02,0.04,1
29.3,1.0,0.128,1.3,0.995,0.135,4.23,0.002,0.07,0.06,1
27.27,1.0,0.124,0.21,0.992,0.17,6.96,0.004,0.02,0.05,1
21.37,1.029,0.126,1.63,0.998,0.14,19.75,0.007,0.06,0.03,1
0.92,0.99,0.125,1.49,0.994,0.125,12.29,0.009,0.04,0.08,1
26.7,1.0,0.122,0.78,0.996,0.095,10.92,0.005,0.01,0.01,1
1.06,1.01,0.128,0.41,0.992,0.148,19.47,0.006,0.02,0.01,1
10.13,0.99,0.124,1.21,0.36,0.156,19.53,0.009,0.02,0.04,1
19.5,0.98,0.126,1.64,0.36,0.046,10.28,0.004,0.04,0.08,1
15.33,1.029,0.122,1.33,0.08,0.143,13.07,0.001,0.01,0.09,1
5.67,0.98,0.122,1.08,0.25,0.115,13.73,0.001,0.05,0.08,1
5.33,1.0,0.126,1.87,0.42,0.165,17.12,0.003,0.09,0.03,1
1.59,0.99,0.125,1.38,0.998,0.064,7.5,0.006,0.01,0.07,1
22.57,0.99,0.126,1.14,0.11,0.18,10.03,0.006,0.05,0.03,1
20.96,0.98,0.126,0.11,0.997,0.022,3.75,0.006,0.08,0.03,1
25.03,1.01,0.127,0.53,0.995,0.094,17.03,0.009,0.04,0.04,1
24.06,1.02,0.129,1.15,0.999,0.179,8.26,0.006,0.08,0.04,1
3.83,1.01,0.125,1.47,0.998,0.182,8.88,0.005,0.05,0.04,1
19.85,1.01,0.128,0.91,0.47,0.125,4.14,0.001,0.05,0.0,1
17.91,1.0,0.129,0.19,0.994,0.117,12.1,0.003,0.05,0.09,1
18.14,1.01,0.126,1.73,0.16,0.06,15.24,0.01,0.06,0.04,1
15.96,1.02,0.123,1.31,0.995,0.151,11.44,0.01,0.01,0.05,1
24.8,1.02,0.124,1.59,0.994,0.099,2.94,0.009,0.03,0.04,1
20.23,0.99,0.125,0.85,0.23,0.181,11.15,0.01,0.07,0.09,1
9.31,1.01,0.129,0.84,0.998,0.11,14.38,0.0,0.0,0.05,1
28.43,1.01,0.125,0.57,0.995,0.092,3.15,0.009,0.06,0.08,1
22.51,0.99,0.124,1.9,0.997,0.193,4.85,0.009,0.05,0.04,1
0.88,1.0,0.127,1.34,0.38,0.176,18.34,0.0,0.08,0.06,1
23.23,1.02,0.125,1.94,0.996,0.18,16.55,0.004,0.05,0.03,1
12.22,0.99,0.127,1.59,0.993,0.18,19.47,0.0,0.04,0.07,1
13.45,1.01,0.127,1.75,0.29,0.11,18.52,0.006,0.04,0.06,1
7.78,0.99,0.126,1.57,0.21,0.001,17.75,0.009,0.01,0.06,1
12.49,1.0,0.127,1.61,0.998,0.167,3.4,0.002,0.04,0.05,1
24.99,1.02,0.129,0.17,0.3,0.078,18.31,0.0,0.01,0.09,1
2.91,1.02,0.128,1.72,0.992,0.148,19.21,0.002,0.04,0.07,1
18.15,1.0,0.129,0.37,0.05,0.038,5.71,0.009,0.04,0.04,1
19.41,1.029,0.122,0.71,0.994,0.187,5.99,0.008,0.01,0.0,1
22.07,0.98,0.129,1.13,0.999,0.18,9.13,0.007,0.02,0.02,1
20.3,1.02,0.129,1.14,0.995,0.184,8.42,0.002,0.09,0.05,1
11.65,1.0,0.124,1.34,0.998,0.172,11.74,0.008,0.1,0.07,1
18.63,1.01,0.129,0.87,0.41,0.149,14.28,0.006,0.1,0.01,1
0.23,1.01,0.125,1.9,0.992,0.189,4.81,0.003,0.0,0.03,1
27.7,1.01,0.128,1.61,0.996,0.118,4.89,0.0,0.08,0.08,1
0.84,1.0,0.127,0.62,0.03,0.183,15.93,0.006,0.06,0.03,1
23.19,1.02,0.124,0.95,0.997,0.121,11.07,0.006,0.09,0.0,1
16.22,1.01,0.124,1.96,0.42,0.073,18.0,0.006,0.07,0.08,1
24.01,1.02,0.127,0.85,0.997,0.065,17.36,0.0,0.01,0.07,1
27.89,1.0,0.129,0.1,0.993,0.088,3.92,0.007,0.05,0.04,1
24.12,1.01,0.127,0.68,0.05,0.052,10.61,0.01,0.1,0.0,1
17.08,0.98,0.124,0.22,0.25,0.047,14.9,0.006,0.09,0.02,1
25.2,0.99,0.122,1.76,0.2,0.006,11.6,0.004,0.0,0.04,1
2.74,1.02,0.128,0.07,0.45,0.03,1.75,0.007,0.06,0.08,1
3.12,1.029,0.121,0.01,0.992,0.028,3.02,0.009,0.02,0.07,1
26.96,1.02,0.128,0.94,0.999,0.011,13.09,0.003,0.0,0.09,1
23.46,0.98,0.124,1.02,0.993,0.138,14.85,0.006,0.07,0.06,1
29.5,1.02,0.129,0.59,0.998,0.05,19.07,0.007,0.06,0.05,1
3.37,0.98,0.123,0.58,0.998,0.19,17.76,0.006,0.02,0.02,1
9.32,0.99,0.129,0.29,0.15,0.1,7.05,0.005,0.09,0.0,1
4.85,1.029,0.128,1.87,0.994,0.018,9.1,0.005,0.1,0.04,1
15.77,1.0,0.128,1.01,0.993,0.01,9.13,0.007,0.06,0.05,1
21.39,1.02,0.129,0.29,0.4,0.007,9.24,0.007,0.09,0.05,1
27.17,1.0,0.123,1.14,0.15,0.099,13.28,0.002,0.06,0.03,1
27.83,0.99,0.126,1.35,0.995,0.187,3.06,0.007,0.09,0.08,1
13.32,1.0,0.129,1.69,0.45,0.107,11.91,0.001,0.01,0.04,1
17.78,0.99,0.121,1.87,0.999,0.043,8.55,0.008,0.01,0.09,1
8.62,1.029,0.123,0.52,0.09,0.127,2.03,0.004,0.06,0.09,1
22.22,0.99,0.129,1.96,0.993,0.09,18.68,0.002,0.03,0.05,1
7.47,0.99,0.125,0.34,0.999,0.183,5.39,0.009,0.07,0.01,1
11.67,1.02,0.123,0.05,0.991,0.044,0.98,0.004,0.09,0.07,1
2.47,0.99,0.129,0.37,0.992,0.057,13.62,0.002,0.08,0.06,1
17.53,0.99,0.124,0.67,0.995,0.107,15.78,0.009,0.08,0.08,1
26.07,0.98,0.121,1.47,0.997,0.098,17.23,0.01,0.09,0.0,1
17.52,1.01,0.122,1.38,0.998,0.033,10.62,0.002,0.0,0.05,1
27.14,0.99,0.125,0.4,0.997,0.022,3.71,0.008,0.07,0.08,1
27.2,1.01,0.127,1.87,0.997,0.15,3.34,0.005,0.09,0.09,1
16.57,0.99,0.127,1.49,0.997,0.18,16.02,0.002,0.06,0.02,1
0.54,0.99,0.124,1.86,0.49,0.107,15.56,0.001,0.03,0.01,1
25.71,0.99,0.127,1.11,0.999,0.083,7.78,0.006,0.08,0.03,1
13.55,1.01,0.121,1.92,0.996,0.028,18.88,0.0,0.05,0.01,1
28.97,0.99,0.129,0.22,0.998,0.037,1.58,0.004,0.0,0.05,1
24.63,0.99,0.129,0.68,0.996,0.072,5.1,0.008,0.05,0.07,1
17.12,1.0,0.126,1.0,0.995,0.1,5.38,0.005,0.06,0.06,1
26.33,1.02,0.128,1.13,0.21,0.098,14.89,0.004,0.0,0.06,1
7.51,1.0,0.125,0.08,0.06,0.072,12.09,0.002,0.03,0.06,1
6.64,0.99,0.124,1.02,0.995,0.188,11.44,0.006,0.03,0.01,1
17.98,0.98,0.125,1.09,0.49,0.177,3.49,0.004,0.07,0.06,1
14.83,1.0,0.129,1.61,0.17,0.121,4.59,0.006,0.02,0.01,1
22.03,1.02,0.129,1.23,0.993,0.052,13.57,0.002,0.07,0.07,1
23.07,1.01,0.128,0.96,0.993,0.021,12.0,0.009,0.06,0.0,1
12.23,0.98,0.125,1.73,0.35,0.063,11.99,0.01,0.08,0.03,1
19.32,0.99,0.123,0.95,0.992,0.151,18.15,0.009,0.09,0.04,1
17.4,1.0,0.129,0.5,0.2,0.007,9.56,0.004,0.0,0.05,1
9.19,1.029,0.122,1.22,1.0,0.196,12.52,0.008,0.01,0.07,1
13.61,1.02,0.128,1.42,0.48,0.097,4.04,0.005,0.09,0.09,1
15.93,1.01,0.122,1.44,0.999,0.014,16.92,0.01,0.02,0.01,1
4.79,1.01,0.127,1.23,0.999,0.053,18.93,0.004,0.08,0.03,1
15.32,1.02,0.129,0.55,0.43,0.01,12.75,0.001,0.07,0.0,1
3.64,1.02,0.125,1.83,0.992,0.047,8.39,0.002,0.05,0.02,1
25.85,0.99,0.129,1.98,0.995,0.059,13.61,0.003,0.09,0.0,1
17.32,1.01,0.123,0.75,0.31,0.089,4.49,0.009,0.07,0.06,1
11.33,1.02,0.125,0.02,1.0,0.101,9.56,0.009,0.04,0.01,1
1.54,0.99,0.122,1.94,0.993,0.058,18.07,0.008,0.01,0.07,1
15.81,1.029,0.129,0.36,0.995,0.044,4.07,0.007,0.07,0.03,1
8.14,1.01,0.127,1.25,0.998,0.117,4.44,0.005,0.05,0.05,1
15.38,1.029,0.123,1.19,0.47,0.143,2.58,0.005,0.03,0.08,1
11.91,1.029,0.125,0.33,0.993,0.172,5.68,0.001,0.04,0.06,1
8.09,1.02,0.128,1.56,0.41,0.158,4.42,0.004,0.05,0.07,1
18.97,0.98,0.129,1.02,0.28,0.085,18.54,0.008,0.05,0.02,1
29.18,1.01,0.129,1.96,0.999,0.111,10.57,0.006,0.06,0.03,1
14.67,1.02,0.124,1.84,0.24,0.032,1.91,0.001,0.03,0.09,1
20.46,1.0,0.129,0.51,0.991,0.041,17.06,0.009,0.06,0.09,1
8.63,0.99,0.128,1.04,0.993,0.161,19.21,0.005,0.04,0.06,1
12.98,0.98,0.125,1.01,0.998,0.03,14.82,0.009,0.07,0.02,1
14.31,1.0,0.123,1.72,0.15,0.195,9.15,0.005,0.01,0.01,1
8.46,1.0,0.128,1.25,0.02,0.096,3.29,0.001,0.04,0.01,1
29.64,1.0,0.127,1.07,0.47,0.001,6.92,0.0,0.07,0.04,1
10.82,1.0,0.121,1.23,0.21,0.088,8.86,0.002,0.08,0.05,1
4.45,1.0,0.125,1.69,0.995,0.128,16.4,0.002,0.08,0.0,1
25.41,1.01,0.123,0.05,0.998,0.112,3.09,0.006,0.01,0.04,1
26.26,1.02,0.125,0.12,0.997,0.084,16.49,0.001,0.02,0.03,1
20.03,1.029,0.128,1.58,0.992,0.144,12.71,0.004,0.04,0.07,1
22.16,1.02,0.127,1.09,0.26,0.04,4.39,0.006,0.09,0.01,1
8.48,1.01,0.126,1.99,0.11,0.058,2.58,0.004,0.1,0.01,1
28.92,1.0,0.123,1.16,0.998,0.077,17.7,0.007,0.03,0.03,1
15.28,1.029,0.126,0.7,0.0,0.067,1.78,0.002,0.1,0.0,1
2.16,0.98,0.124,1.75,0.28,0.042,2.66,0.005,0.07,0.05,1
28.39,1.0,0.128,0.74,0.07,0.035,15.76,0.01,0.03,0.08,1
2.69,1.02,0.129,0.44,0.999,0.156,7.24,0.006,0.06,0.06,1
4.91,1.029,0.122,1.6,0.992,0.178,16.66,0.001,0.01,0.07,1
2.42,1.0,0.125,0.77,0.995,0.137,8.8,0.009,0.05,0.04,1
29.55,1.029,0.122,0.31,0.01,0.137,2.81,0.007,0.03,0.09,1
10.38,1.0,0.129,1.64,0.31,0.195,18.6,0.009,0.03,0.04,1
0.51,1.02,0.125,1.91,0.16,0.085,11.16,0.006,0.02,0.08,1
29.52,1.01,0.128,1.7,0.49,0.102,8.86,0.007,0.06,0.04,1
15.74,1.0,0.125,1.95,1.0,0.035,8.94,0.004,0.03,0.0,1
22.66,0.99,0.124,0.56,0.994,0.134,19.16,0.007,0.05,0.07,1
11.54,0.99,0.129,1.84,0.993,0.107,12.68,0.006,0.05,0.04,1
14.74,1.0,0.128,0.87,0.37,0.048,13.1,0.005,0.05,0.04,1
14.61,1.0,0.123,1.25,0.16,0.017,8.4,0.009,0.07,0.04,1
5.73,1.029,0.125,0.67,0.19,0.159,3.98,0.0,0.1,0.02,1
3.56,0.99,0.129,1.13,0.42,0.005,11.49,0.003,0.04,0.07,1
15.39,0.99,0.129,1.64,0.999,0.167,10.21,0.005,0.05,0.03,1
29.68,1.029,0.128,0.05,0.06,0.194,3.98,0.001,0.09,0.08,1
