educ,exper,tenure,male,white,numdep,married,class
12,12,3,0,1,3,1,4.79
7,35,0,0,1,1,0,3.35
8,33,0,1,1,1,1,3.0
16,8,6,1,1,0,1,8.43
16,2,0,1,1,0,0,5.7
18,8,10,1,1,2,1,11.98
13,29,1,0,1,0,1,3.5
10,14,5,1,0,1,1,4.24
16,26,3,0,1,1,1,7.0
14,11,3,0,1,2,1,6.0
16,10,2,1,1,0,0,12.22
12,13,0,1,1,0,1,4.5
9,23,20,0,1,2,1,3.0
11,1,2,1,0,2,0,2.9
11,35,31,1,1,0,1,15.0
12,5,2,1,1,0,1,4.0
11,13,11,1,1,2,1,5.25
12,22,3,1,1,3,1,4.0
12,21,9,0,1,2,1,3.3
12,19,0,0,1,3,1,5.05
12,13,0,1,1,0,0,3.58
14,15,5,1,1,2,1,5.0
14,3,0,1,1,0,1,4.57
18,6,2,1,1,0,0,12.5
12,6,5,0,1,0,1,3.45
12,16,1,0,1,0,0,4.63
12,31,2,1,1,0,1,10.0
11,1,0,0,1,1,0,2.92
12,5,2,1,1,0,0,4.51
17,3,0,1,1,0,1,6.5
16,11,0,1,1,0,1,7.5
13,6,7,0,1,0,1,3.54
13,11,3,0,1,2,1,4.2
12,7,2,0,1,0,1,3.51
14,5,0,1,1,0,1,4.5
14,5,4,0,1,0,1,3.35
11,2,2,1,1,2,0,2.91
10,44,7,1,1,1,1,5.25
8,44,25,1,1,0,1,4.05
14,13,0,0,1,3,1,3.75
12,26,15,0,1,1,1,3.4
10,2,1,0,1,1,0,3.0
17,10,3,1,1,1,1,6.29
9,2,0,0,1,1,0,2.54
12,35,0,0,1,1,1,4.5
12,6,5,0,1,1,1,3.13
14,8,1,1,1,0,1,6.36
16,1,0,1,1,0,0,4.68
12,14,10,1,1,2,1,6.8
10,14,6,1,1,0,1,8.53
0,22,10,0,1,0,0,4.17
14,8,4,0,1,0,1,3.75
15,1,4,0,1,2,0,11.1
16,15,5,0,0,2,1,3.26
12,14,12,1,1,3,1,9.13
11,37,10,1,1,2,1,4.5
11,1,1,0,1,1,0,3.0
12,4,4,1,1,0,1,8.75
13,29,0,0,1,0,1,4.14
12,45,8,0,1,0,1,2.87
13,22,0,0,1,2,0,3.35
16,42,10,1,1,0,0,6.08
15,9,0,1,0,0,0,3.0
16,8,0,0,1,1,1,4.2
15,31,15,0,1,2,0,5.6
12,24,24,1,1,0,1,10.0
18,16,5,1,1,1,1,12.5
6,6,0,1,1,4,0,3.76
6,14,0,0,0,5,0,3.1
12,47,25,0,1,2,1,4.29
12,34,5,1,1,0,1,10.92
16,6,2,0,1,1,1,7.5
9,7,4,0,1,1,1,4.05
12,27,2,1,1,3,1,4.65
11,24,5,1,1,0,1,5.0
10,18,0,0,1,2,1,2.9
12,12,3,0,0,1,0,8.0
8,27,3,1,1,3,1,8.43
9,49,0,0,1,0,0,2.92
17,4,0,0,1,0,0,6.25
16,24,2,0,1,2,1,6.25
11,3,0,1,1,0,0,5.11
10,2,0,0,1,1,0,4.0
8,29,11,1,1,3,1,4.44
13,34,21,1,1,0,1,6.88
14,10,3,1,0,1,1,5.43
13,5,0,0,1,1,0,3.0
11,2,0,0,1,2,0,2.9
7,39,21,1,0,0,1,6.25
16,5,2,0,0,0,0,4.34
12,14,2,0,1,2,1,3.25
13,8,2,1,1,0,0,7.26
14,10,1,0,1,2,1,6.35
16,2,2,1,1,0,1,5.63
14,9,3,1,1,1,1,8.75
11,1,0,1,1,0,0,3.2
8,45,1,0,1,0,1,3.0
14,33,3,0,1,0,1,3.0
17,21,18,1,1,3,1,12.5
10,2,0,0,1,3,0,2.88
12,9,1,1,1,0,1,3.35
12,33,2,1,1,0,1,6.5
18,16,2,1,0,1,1,10.38
14,10,0,1,1,0,1,4.5
18,9,8,1,1,0,0,10.0
12,8,1,0,1,2,1,3.81
16,9,1,1,1,0,1,8.8
14,23,0,0,1,2,1,9.42
12,23,8,1,1,2,1,6.33
9,22,18,1,0,0,0,4.0
12,37,0,0,1,0,1,2.9
12,22,4,1,1,1,1,20.0
17,28,25,1,1,1,1,11.25
12,14,0,0,0,2,0,3.5
15,19,4,0,1,2,1,6.0
17,10,9,1,0,1,1,14.38
16,25,0,1,1,1,1,6.36
12,21,0,0,1,1,1,3.55
15,32,0,1,1,0,1,3.0
16,21,10,1,1,1,1,4.5
12,36,0,0,1,0,0,6.63
15,2,2,1,1,0,1,9.3
12,11,0,0,1,2,1,3.0
12,40,2,0,1,0,0,3.25
12,11,1,0,1,2,1,1.5
12,9,7,0,1,1,1,5.9
16,23,4,1,1,0,0,8.0
11,1,0,0,1,1,0,2.9
14,30,13,1,1,0,0,3.29
14,41,33,1,1,0,1,6.5
13,6,0,0,1,1,0,4.0
14,11,0,1,1,0,1,6.0
12,43,17,0,1,0,1,4.08
12,39,2,0,1,0,1,3.75
8,50,24,0,1,0,0,3.05
12,26,20,0,1,0,1,3.5
3,51,30,1,0,0,0,2.92
11,3,9,1,1,0,0,4.5
15,3,1,0,1,2,1,3.35
11,15,9,1,0,1,1,5.95
12,17,6,1,1,2,1,8.0
4,36,0,1,1,1,1,3.0
9,31,9,1,0,6,1,5.0
12,9,4,1,1,1,1,5.5
12,42,10,0,1,0,1,2.65
11,3,0,0,1,2,0,3.0
12,37,14,0,1,0,1,4.5
16,23,22,1,1,3,1,17.5
13,21,5,1,1,0,0,8.18
15,11,12,1,1,1,1,9.09
16,35,13,1,1,0,1,11.82
12,42,0,0,1,0,1,3.25
12,3,0,1,1,0,0,4.5
12,13,0,1,1,0,1,4.5
9,14,7,1,1,2,1,3.71
10,14,11,1,1,3,1,6.5
12,39,1,0,1,0,1,2.9
11,11,8,1,1,2,1,5.6
8,28,3,1,1,4,1,2.23
6,18,0,0,1,3,1,5.0
16,6,2,1,1,0,1,8.33
12,26,1,0,1,4,0,2.9
12,21,6,1,1,3,1,6.25
16,34,2,1,1,0,1,4.55
12,17,2,0,1,0,0,3.28
10,2,0,0,1,4,0,2.3
13,5,0,0,1,0,0,3.3
13,1,0,0,1,4,0,3.15
14,40,30,1,1,0,1,12.5
16,39,21,0,1,0,0,5.15
10,1,1,1,1,2,0,3.13
12,14,5,1,1,3,1,7.25
12,2,2,0,1,0,0,2.9
11,2,1,1,1,2,0,1.75
0,42,0,0,1,2,1,2.89
5,34,0,0,1,5,1,2.9
16,10,3,1,1,1,1,17.71
16,4,3,1,1,0,1,6.25
9,4,0,1,1,1,0,2.6
15,21,3,0,1,2,1,6.63
12,31,3,0,0,1,0,3.5
12,20,14,1,1,3,1,6.5
12,36,1,0,0,0,0,3.0
13,7,0,1,0,1,1,4.38
12,15,0,1,1,1,0,10.0
7,25,17,1,1,5,1,4.95
17,7,0,0,1,2,1,9.0
12,17,0,0,1,2,1,1.43
12,3,1,1,1,0,0,3.08
14,12,11,1,1,3,1,9.33
12,18,5,1,1,2,1,7.5
13,47,1,1,1,0,1,4.75
12,2,0,1,1,0,0,5.65
16,14,2,0,1,2,1,15.0
10,2,0,0,1,3,0,2.27
15,13,18,1,1,3,1,4.67
16,5,1,1,1,0,1,11.56
14,5,4,0,0,2,0,3.5
