class,cylinders,displacement,horsepower,weight,model year
31.0,7,79.0,209,4803,74
26.0,7,122.0,196,4302,74
32.0,7,71.0,211,4917,74
25.0,7,140.0,201,4211,74
16.0,5,250.0,176,2972,74
16.0,5,258.0,166,3121,74
18.0,5,225.0,171,3140,74
16.0,3,302.0,136,2612,74
13.0,3,350.0,126,2054,74
14.0,3,318.0,126,2296,74
14.0,3,302.0,136,2115,74
14.0,3,304.0,126,2496,74
29.0,7,98.0,193,4534,74
26.0,7,79.0,209,4790,74
26.0,7,97.0,198,4453,74
31.0,7,76.0,224,5104,74
32.0,7,83.0,215,4750,74
28.0,7,90.0,201,4628,74
24.0,7,90.0,201,4645,74
26.0,7,116.0,201,4507,74
24.0,7,120.0,179,4264,74
26.0,7,108.0,183,4362,74
31.0,7,79.0,209,4753,74
19.0,5,225.0,181,3489,75
18.0,5,250.0,171,3294,75
15.0,5,250.0,204,3321,75
15.0,5,250.0,204,3595,75
16.0,3,400.0,106,2085,75
15.0,3,350.0,131,2313,75
16.0,3,318.0,126,2255,75
14.0,3,351.0,128,2096,75
17.0,5,231.0,166,2846,75
16.0,5,250.0,171,2856,75
15.0,5,258.0,166,3023,75
18.0,5,225.0,181,2968,75
21.0,5,231.0,166,3714,75
20.0,3,262.0,166,3532,75
13.0,3,302.0,147,3584,75
29.0,7,97.0,201,4582,75
23.0,7,140.0,193,4114,75
20.0,5,232.0,176,3839,75
23.0,7,140.0,198,4161,75
24.0,7,134.0,180,4051,75
25.0,7,90.0,205,4530,75
24.0,7,119.0,179,4208,75
18.0,5,171.0,179,3769,75
29.0,7,90.0,206,4816,75
19.0,5,232.0,186,3542,75
23.0,7,115.0,181,4059,75
23.0,7,120.0,188,3796,75
22.0,7,121.0,178,3808,75
25.0,7,121.0,161,4082,75
33.0,7,91.0,223,4958,75
28.0,7,107.0,190,4289,76
25.0,7,116.0,195,4533,76
25.0,7,140.0,184,4181,76
26.0,7,98.0,197,4498,76
27.0,7,101.0,193,4551,76
17.5,3,305.0,136,2538,76
16.0,3,318.0,126,2563,76
15.5,3,304.0,156,2791,76
14.5,3,351.0,124,2538,76
22.0,5,225.0,176,3520,76
22.0,5,250.0,171,3400,76
24.0,5,200.0,195,3741,76
22.5,5,232.0,186,3668,76
29.0,7,85.0,224,4718,76
24.5,7,98.0,216,4589,76
29.0,7,90.0,206,4816,76
33.0,7,91.0,223,4958,76
20.0,5,225.0,176,3102,76
18.0,5,250.0,198,3179,76
18.5,5,250.0,166,3108,76
17.5,5,258.0,181,3560,76
29.5,7,97.0,205,4928,76
32.0,7,85.0,206,4763,76
28.0,7,97.0,201,4598,76
26.5,7,140.0,204,4188,76
20.0,7,130.0,174,3603,76
13.0,3,318.0,126,2813,76
19.0,7,120.0,188,3483,76
19.0,5,156.0,168,3823,76
16.5,5,168.0,156,2933,76
16.5,3,350.0,96,2373,76
13.0,3,350.0,131,2698,76
13.0,3,302.0,146,2883,76
13.0,3,318.0,126,2998,76
31.5,7,98.0,208,4708,77
30.0,7,111.0,196,4598,77
36.0,7,79.0,218,4928,77
25.5,7,122.0,180,4453,77
33.5,7,85.0,206,4808,77
17.5,3,305.0,131,2873,77
17.0,3,260.0,166,2693,77
15.5,3,318.0,131,2613,77
15.0,3,302.0,146,2458,77
17.5,5,250.0,166,3233,77
20.5,5,231.0,171,3328,77
19.0,5,225.0,176,3123,77
18.5,5,250.0,178,3228,77
16.0,3,400.0,96,2533,77
15.5,3,350.0,106,2588,77
15.5,3,400.0,86,2428,77
16.0,3,351.0,127,2418,77
29.0,7,97.0,198,4813,77
24.5,7,151.0,188,4013,77
26.0,7,97.0,201,4488,77
25.5,7,140.0,187,3998,77
30.5,7,98.0,213,4702,77
33.5,7,98.0,193,4678,77
30.0,7,97.0,209,4768,77
30.5,7,97.0,198,4563,77
22.0,5,146.0,179,3938,77
21.5,7,121.0,166,4153,77
21.5,8,80.0,166,4033,77
43.1,7,90.0,228,4768,78
36.1,7,98.0,210,4953,78
32.8,7,78.0,224,4768,78
39.4,7,85.0,206,4683,78
36.1,7,91.0,216,4953,78
19.9,3,260.0,166,3388,78
19.4,3,318.0,136,3018,78
20.2,3,302.0,137,3183,78
19.2,5,231.0,171,3218,78
20.5,5,200.0,181,3598,78
20.2,5,200.0,191,3788,78
25.1,7,140.0,188,4033,78
20.5,5,225.0,176,3323,78
19.4,5,232.0,186,3543,78
20.6,5,231.0,171,3373,78
20.8,5,200.0,191,3683,78
18.6,5,225.0,166,3133,78
18.1,5,258.0,156,3343,78
19.2,3,305.0,131,3328,78
17.7,5,231.0,111,3308,78
18.1,3,302.0,137,3548,78
17.5,3,318.0,136,2673,78
30.0,7,98.0,208,4598,78
27.5,7,134.0,181,4193,78
27.2,7,119.0,179,4453,78
30.9,7,105.0,201,4523,78
21.1,7,134.0,181,4238,78
23.2,7,156.0,171,4008,78
23.8,7,151.0,191,3898,78
23.9,7,119.0,179,4348,78
20.3,6,131.0,173,3923,78
17.0,5,163.0,151,3613,78
21.6,7,121.0,161,3958,78
16.2,5,163.0,143,3343,78
31.5,7,89.0,205,4763,78
29.5,7,98.0,208,4618,78
21.5,5,231.0,161,3508,79
19.8,5,200.0,191,3763,79
22.3,7,140.0,188,3863,79
20.2,5,232.0,186,3488,79
20.6,5,225.0,166,3393,79
17.0,3,305.0,146,2913,79
17.6,3,302.0,147,3028,79
16.5,3,351.0,138,2798,79
18.2,3,318.0,141,2923,79
16.9,3,350.0,121,2393,79
15.5,3,351.0,134,2699,79
19.2,3,267.0,151,3148,79
18.5,3,360.0,126,2813,79
31.9,7,89.0,205,4828,79
34.1,7,86.0,211,4778,79
35.7,7,98.0,196,4838,79
27.4,7,121.0,196,4083,79
25.4,6,183.0,199,3223,79
23.0,3,350.0,151,2853,79
27.2,7,141.0,205,3563,79
23.9,3,260.0,186,3333,79
34.2,7,105.0,206,4553,79
34.5,7,105.0,206,4603,79
31.8,7,85.0,211,4733,79
37.3,7,91.0,207,4623,79
28.4,7,151.0,186,4083,79
28.8,5,173.0,161,4158,79
26.8,5,173.0,161,4053,79
33.5,7,151.0,186,4197,79
41.5,7,98.0,200,4609,80
38.1,7,89.0,216,4785,80
32.1,7,98.0,206,4633,80
37.2,7,86.0,211,4734,80
28.0,7,151.0,186,4075,80
26.4,7,140.0,188,3883,80
24.3,7,151.0,186,3750,80
19.1,5,225.0,186,3372,80
34.3,7,97.0,198,4565,80
29.8,7,134.0,186,4042,80
31.3,7,120.0,201,4211,80
37.0,7,119.0,184,4319,80
32.2,7,108.0,201,4488,80
46.6,7,86.0,211,4643,80
27.9,7,156.0,171,3953,80
40.8,7,85.0,211,4643,80
44.3,7,90.0,228,4668,80
43.4,7,90.0,228,4418,80
36.4,6,121.0,209,3803,80
30.0,7,146.0,209,3503,80
44.6,7,91.0,209,4903,80
33.8,7,97.0,209,4608,80
29.8,7,89.0,214,4908,80
32.7,5,168.0,144,3843,80
23.7,8,70.0,176,4333,80
35.0,7,122.0,188,4253,80
32.4,7,107.0,204,4463,80
27.2,7,135.0,192,4263,81
26.6,7,151.0,192,4118,81
25.8,7,156.0,184,4133,81
23.5,5,173.0,166,4028,81
30.0,7,135.0,192,4368,81
39.1,7,79.0,218,4998,81
39.0,7,86.0,212,4878,81
35.1,7,81.0,216,4993,81
32.3,7,97.0,209,4688,81
37.0,7,85.0,211,4778,81
37.7,7,89.0,214,4703,81
34.1,7,91.0,208,4768,81
34.7,7,105.0,213,4538,81
34.4,7,98.0,211,4708,81
29.9,7,98.0,211,4373,81
33.0,7,105.0,202,4563,81
33.7,7,107.0,201,4543,81
32.4,7,108.0,201,4403,81
32.9,7,119.0,176,4138,81
31.6,7,120.0,202,4118,81
28.1,7,141.0,196,3523,81
30.7,5,145.0,200,3593,81
25.4,5,168.0,160,3853,81
24.2,5,146.0,156,3823,81
22.4,5,231.0,166,3338,81
26.6,3,350.0,171,3028,81
20.2,5,200.0,188,3693,81
17.6,5,225.0,191,3288,81
28.0,7,112.0,188,4148,82
27.0,7,112.0,188,4113,82
34.0,7,112.0,188,4358,82
31.0,7,112.0,191,4178,82
29.0,7,135.0,192,4228,82
27.0,7,151.0,186,4018,82
24.0,7,140.0,184,3888,82
36.0,7,105.0,202,4773,82
37.0,7,91.0,208,4728,82
31.0,7,91.0,208,4783,82
38.0,7,105.0,213,4628,82
36.0,7,98.0,206,4628,82
36.0,7,120.0,188,4593,82
36.0,7,107.0,201,4548,82
34.0,7,108.0,206,4508,82
38.0,7,91.0,209,4788,82
32.0,7,91.0,209,4788,82
38.0,7,91.0,209,4758,82
25.0,5,181.0,166,3808,82
38.0,5,262.0,191,3738,82
26.0,7,156.0,184,4168,82
22.0,5,232.0,164,3918,82
32.0,7,144.0,180,4088,82
36.0,7,135.0,192,4383,82
27.0,7,151.0,186,3803,82
27.0,7,140.0,190,3963,82
44.0,7,97.0,224,4623,82
32.0,7,135.0,192,4458,82
28.0,7,120.0,197,4128,82
31.0,7,119.0,194,4033,82
